titulo,precio,provincia,lugar,num_dormitorios,num_banos,area,num_garages,tipo_precio_lugar
DEPARTAMENTO EN RENTA EN LA DIEGO DE ALMAGRO,100,Pichincha,"pichincha, whymper & diego de almagro, quito 170517, ecuador",2,2,1.0,1,Medio
ARRIENDO OFICINA EN SANGOLQUI VALLE DE LOS CHILLOS,230,Pichincha,"pichincha, sangolqui, ecuador",3,1,53.0,1,Económico
"RENTA AMPLIO DEPARTAMENTO 3D, ORIENTE QUITEÑO",1500,Pichincha,"pichincha, quiteno libre & fernando ayarza, quito, ecuador",3,4,196.0,2,Medio
SUITE AMOBLADA DE RENTA TUMBACO,650,Pichincha,"pichincha, tumbaco, quito, ecuador",1,1,70.0,1,Medio
"OFICINAS DE ARRIENDO 210 M2, SECTOR COMERCIAL NORTE",500,Pichincha,"pichincha, cuero y caicedo, quito, ecuador",3,2,210.0,2,Económico
"RENTA AMPLIO LOCAL 225 m2 DUPLEX, EDIFICIO FORESTA",1800,Pichincha,"pichincha, alonso de torres & av. edmundo carvajal, quito 170132, ecuador",3,2,253.0,3,Medio
BODEGA DE ARRIENDO 500m2 EN EL INCA BUENOS AIRES,1350,Pichincha,"pichincha, san isidro del inca, quito, ecuador",3,2,500.0,4,Medio
HERMOSA Y CONFORTABLE CASA EN RENTA LA PAMPA,600,Pichincha,"pichincha, la pampa, quito, ecuador",3,2,137.0,2,Medio
EXCELENTE DEPARTAMENTO SECTOR “QUICENTRO SHOPPING”,600,Pichincha,"pichincha, quicentro shopping, avenida 6 de diciembre, quito, ecuador",4,3,240.0,2,Económico
"EN RENTA DEPARTAMENTO, CONJUNTO DIVINO NIÑO",120,Pichincha,"pichincha, turubamaba, ecuador",2,1,48.0,1,Medio
ARRIENDO BODAGA EN EL SECTOR DE FAJARDO,1300,Pichincha,"pichincha, avenida puruhaes, quito, ecuador",3,2,324.0,5,Medio
ARRIENDO BODEGA EN EL SECTOR DE FAJARDO,1300,Pichincha,"pichincha, avenida puruhaes, quito, ecuador",3,2,324.0,1,Medio
SUITE AMOBLADA DE ALQUILER EN LA PRADERA,550,Pichincha,"pichincha, la pradera, quito, ecuador",1,1,72.0,1,Económico
duplex en arriendo puente dos,400,Pichincha,"pichincha, autopista general ruminahui, quito, ecuador",4,5,300.0,1,Medio
ARRIENDO MINI DEPARTAMENTO EN PUERTO FRANCISCO DE ORELLANA,150,Orellana,"orellana, san sebastian del coca, ecuador",1,1,28.0,2,Medio
Hermosa casa de arriendo sector Ponceano de oportunidad $580,580,Pichincha,"pichincha, albert einstein, quito, ecuador",3,3,180.0,2,Lujo
